"Type","Source","Destination","Alt Text","Length"
"Image","https://downkingo.com/pt/blog/","https://downkingo.com/_astro/welcome-hero.KpfLQg_1_ZKENIA.webp","Desktop moderno exibindo a interface do DownKingo com ícones de download, áudio e transcrição flutuando ao redor","112"
"Image","https://downkingo.com/en/blog/","https://downkingo.com/_astro/welcome-hero.KpfLQg_1_ZKENIA.webp","Modern desktop displaying DownKingo interface with floating download audio and transcription icons","98"
"Image","https://downkingo.com/pt/blog/bem-vindo-ao-blog-downkingo/","https://downkingo.com/_astro/welcome-hero.KpfLQg_1_uRaO.png","Desktop moderno exibindo a interface do DownKingo com ícones de download, áudio e transcrição flutuando ao redor","112"
"Image","https://downkingo.com/en/blog/welcome-to-downkingo-blog/","https://downkingo.com/_astro/welcome-hero.KpfLQg_1_uRaO.png","Modern desktop displaying DownKingo interface with floating download audio and transcription icons","98"
"Image","https://downkingo.com/pt/autor/emanuel-nunes/","https://downkingo.com/_astro/welcome-hero.KpfLQg_1_Z2i7xfz.png","Desktop moderno exibindo a interface do DownKingo com ícones de download, áudio e transcrição flutuando ao redor","112"
"Image","https://downkingo.com/en/author/emanuel-nunes/","https://downkingo.com/_astro/welcome-hero.KpfLQg_1_Z2i7xfz.png","Modern desktop displaying DownKingo interface with floating download audio and transcription icons","98"
