"Address","Title 1","Occurrences","HTML hreflang 1","HTML hreflang 1 URL","HTTP hreflang 1","HTTP hreflang 1 URL","Sitemap hreflang 1","Sitemap hreflang 1 URL","Indexability","Indexability Status","HTML hreflang 2","HTML hreflang 2 URL"
"https://downkingo.com/docs/","Welcome to DownKingo | DownKingo Docs","2","en","https://downkingo.com/docs/","","","","","Indexable","","pt-BR","https://downkingo.com/pt/docs/"
"https://downkingo.com/roadmap/","Roadmap | DownKingo Docs","2","en","https://downkingo.com/roadmap/","","","","","Indexable","","pt-BR","https://downkingo.com/pt/roadmap/"
"https://downkingo.com/installation/","Installation | DownKingo Docs","2","en","https://downkingo.com/installation/","","","","","Indexable","","pt-BR","https://downkingo.com/pt/installation/"
"https://downkingo.com/development/","Development | DownKingo Docs","2","en","https://downkingo.com/development/","","","","","Indexable","","pt-BR","https://downkingo.com/pt/development/"
"https://downkingo.com/features/","Features | DownKingo Docs","2","en","https://downkingo.com/features/","","","","","Indexable","","pt-BR","https://downkingo.com/pt/features/"
